title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
linear programming,3,Linear Programming,W4237397831; W4254191750; W4255863451,"2007, 2013, 2020",3
meta programming through typeful code representation,3,Meta-programming through typeful code representation,W2120146214; W2137232178; W3163654609,"2003, 2005",3
network stack specialization for performance,3,Network stack specialization for performance,W2133987956; W2139367291; W4246595290,"2013, 2014",3
principles of programming languages,3,Principles of Programming Languages,W1558824830; W2970659527; W3208714696,"2005, 2009, 2014",3
programming pearls,3,Programming pearls,W1499824048; W1897795992; W1958582444,"1985, 1986",3
synthesizing transformations for locality enhancement of imperfectly nested loop nests,3,Synthesizing transformations for locality enhancement of imperfectly-nested loop nests,W2046351222; W2212640437; W4238611010,"2000, 2001, 2014",3
theories of programming languages,3,Theories of Programming Languages,W1530632793; W1974491122; W4212903209,"1998, 1999, 2000",3
automating string processing in spreadsheets using input output examples,2,Automating string processing in spreadsheets using input-output examples,W2132525863; W4237412827,2011,118
iris,2,Iris,W2147323041; W4239797127,"2014, 2015",117
synthesizing data structure transformations from input output examples,2,Synthesizing data structure transformations from input-output examples,W2093535699; W4253977062,2015,92
program synthesis from polymorphic refinement types,2,Program synthesis from polymorphic refinement types,W1858945639; W2949895386,2016,89
mathematizing c concurrency,2,Mathematizing C++ concurrency,W2138074470; W4234066571,2011,85
the dacapo benchmarks,2,The DaCapo benchmarks,W2166091242; W3005566493,2006,76
interactive proofs in higher order concurrent separation logic,2,Interactive proofs in higher-order concurrent separation logic,W2562833768; W3119885031,"2016, 2017",74
flashmeta a framework for inductive program synthesis,2,FlashMeta: a framework for inductive program synthesis,W2060610732; W3012572620,2015,73
liquid types,2,Liquid types,W2295923951; W4239420709,2008,70
dart,2,DART,W2096449544; W4237492309,2005,68
dependent types and multi monadic effects in f,2,Dependent types and multi-monadic effects in F*,W2267469130; W3121106327,2016,66
refinement types for haskell,2,Refinement types for Haskell,W2045900383; W4239433846,2014,64
cakeml,2,CakeML,W2006731094; W4240497447,2014,63
higher order ghost state,2,Higher-order ghost state,W2509578035; W3049422318,2016,62
a lightweight symbolic virtual machine for solver aided host languages,2,A lightweight symbolic virtual machine for solver-aided host languages,W2057156093; W3011737828,2014,61
component based synthesis of table consolidation and transformation tasks from examples,2,Component-based synthesis of table consolidation and transformation tasks from examples,W2550471858; W2953054522,2017,61
type and example directed program synthesis,2,Type-and-example-directed program synthesis,W2013596093; W3009002422,2015,61
repairing sequential consistency in c c 11,2,Repairing sequential consistency in C/C++11,W2626631502; W3011851329,2017,60
herding cats,2,Herding cats,W2026161190; W2738891045,2014,59
the essence of compiling with continuations,2,The essence of compiling with continuations,W2073904768; W4252567017,1993,58
a promising semantics for relaxed memory concurrency,2,A promising semantics for relaxed-memory concurrency,W2564852534; W3024303244,"2016, 2017",57
effective static race detection for java,2,Effective static race detection for Java,W2133662847; W4300810260,2006,57
how to make a multiprocessor computer that correctly executes multiprocess programs,2,How to Make a Multiprocessor Computer That Correctly Executes Multiprocess Programs,W2054739713; W3022430991,"1979, 2019",57
strictly declarative specification of sophisticated points to analyses,2,Strictly declarative specification of sophisticated points-to analyses,W2151562310; W4247889999,2009,57
time clocks and the ordering of events in a distributed system,2,"Time, clocks, and the ordering of events in a distributed system",W1973501242; W3137220996,"1978, 2019",57
type directed compilation of row typed algebraic effects,2,Type directed compilation of row-typed algebraic effects,W2561708922; W3006963970,"2016, 2017",56
retrofitting effect handlers onto ocaml,2,Retrofitting effect handlers onto OCaml,W3149432941; W3170236839,2021,54
gradual typing for objects,2,Gradual typing for objects,W1568983194; W3137596000,2007,53
definitional interpreters for higher order programming languages,2,Definitional interpreters for higher-order programming languages,W2043416466; W2127114597,"1972, 1998",52
the rust language,2,The rust language,W2013892605; W4241006348,2014,52
verdi a framework for implementing and formally verifying distributed systems,2,Verdi: a framework for implementing and formally verifying distributed systems,W2167814583; W4241316177,2015,52
bridging the gap between programming languages and hardware weak memory models,2,Bridging the gap between programming languages and hardware weak memory models,W2884767181; W3122287721,2019,51
ironfleet,2,IronFleet,W2091776255; W2732888418,"2015, 2017",51
formal certification of a compiler back end or,2,Formal certification of a compiler back-end or,W2129695855; W3012896203,2006,50
viper a verification infrastructure for permission based reasoning,2,Viper: A Verification Infrastructure for Permission-Based Reasoning,W2294722445; W2785797961,"2015, 2017",50
compiler validation via equivalence modulo inputs,2,Compiler validation via equivalence modulo inputs,W2170737051; W2997653900,2014,49
simple relational correctness proofs for static analyses and program transformations,2,Simple relational correctness proofs for static analyses and program transformations,W2149996206; W2997326335,2004,49
synthesizing highly expressive sql queries from input output examples,2,Synthesizing highly expressive SQL queries from input-output examples,W2626990892; W4255584681,2017,49
a probabilistic pdl,2,A probabilistic PDL,W1982800675; W2000108089,"1983, 1985",46
contracts for higher order functions,2,Contracts for higher-order functions,W2128303158; W4253591485,2002,46
deep specifications and certified abstraction layers,2,Deep Specifications and Certified Abstraction Layers,W2095770127; W3139619551,"2014, 2015",46
sel4,2,seL4,W2076409494; W2136310957,"2009, 2010",46
semantics of probabilistic programs,2,Semantics of probabilistic programs,W2024355065; W2161290831,"1979, 1981",46
abstracting gradual typing,2,Abstracting gradual typing,W2295283668; W4248497488,2016,45
checking interference with fractional permissions,2,Checking interference with fractional permissions,W1861989620; W4245729501,2003,45
program synthesis using conflict driven learning,2,Program synthesis using conflict-driven learning,W2768510408; W2964240296,2018,45
refinement based context sensitive points to analysis for java,2,Refinement-based context-sensitive points-to analysis for Java,W2133497528; W4243644740,2006,44
simplifying arm concurrency multicopy atomic axiomatic and operational models for armv8,2,Simplifying ARM concurrency: multicopy-atomic axiomatic and operational models for ARMv8,W2769194423; W2898839952,"2017, 2018",44
a very modal model of a modern major general type system,2,"A very modal model of a modern, major, general type system",W1965602413; W4229652664,2007,43
flashextract,2,FlashExtract,W2144951274; W4256244129,2014,43
the design and implementation of typed scheme,2,The design and implementation of typed scheme,W1973186567; W3014933227,2008,43
do be do be do,2,Do be do be do,W2184230987; W3010302451,"2016, 2017",42
handlers in action,2,Handlers in action,W1971752790; W3010987607,2013,42
local type inference,2,Local type inference,W2025407135; W2036676170,"1998, 2000",42
synthesis of loop free programs,2,Synthesis of loop-free programs,W2162960800; W4242364663,2011,41
component based synthesis for complex apis,2,Component-based synthesis for complex APIs,W2561055248; W4251125603,"2016, 2017",40
flowdroid,2,FlowDroid,W2166743230; W4244726870,2014,40
koka programming with row polymorphic effect types,2,Koka: Programming with Row Polymorphic Effect Types,W2109375905; W6948077401,2014,40
assigning meanings to programs,2,Assigning Meanings to Programs,W2069300761; W4251912342,"1967, 1993",39
bounded expectations resource analysis for probabilistic programs,2,Bounded expectations: resource analysis for probabilistic programs,W2768683713; W2951490272,2018,39
concurrent abstract predicates,2,Concurrent abstract predicates,W2136739578; W4237730680,2010,39
demand driven points to analysis for java,2,Demand-driven points-to analysis for Java,W2110833886; W2997088857,2005,39
from datalog to flix a declarative language for fixed points on lattices,2,From Datalog to flix: a declarative language for fixed points on lattices,W2417567569; W3005050519,2016,39
quipper,2,Quipper,W2160347025; W2952568606,2013,39
certified concurrent abstraction layers,2,Certified concurrent abstraction layers,W2798365728; W4245180599,2018,38
dynamic partial order reduction for model checking software,2,Dynamic partial-order reduction for model checking software,W2169870841; W2998259759,2005,38
equality saturation,2,Equality saturation,W2152397470; W4246264663,2009,38
formal certification of code based cryptographic proofs,2,Formal certification of code-based cryptographic proofs,W2011086847; W2571169473,2009,38
pick your contexts well,2,Pick your contexts well,W1969599528; W4251478049,2011,38
effective stateless model checking for c c concurrency,2,Effective stateless model checking for C/C++ concurrency,W2778029444; W2899402023,"2017, 2018",37
logical step indexed logical relations,2,Logical Step-Indexed Logical Relations,W2123329569; W2949578585,"2009, 2011",37
the java memory model,2,The Java memory model,W2091085450; W2914127544,2005,37
a convenient category for higher order probability theory,2,A convenient category for higher-order probability theory,W2573614896; W2949151551,2017,36
mapreduce program synthesis,2,MapReduce program synthesis,W2409856616; W2998195985,2016,36
test case reduction for c compiler bugs,2,Test-case reduction for C compiler bugs,W2155877593; W3005142042,2012,36
the existence of refinement mappings,2,The existence of refinement mappings,W2124192263; W2132107743,"1991, 2003",36
unifying refinement and hoare style reasoning in a logic for higher order concurrency,2,Unifying refinement and hoare-style reasoning in a logic for higher-order concurrency,W2028861803; W3009161438,2013,36
array programming with numpy,2,Array programming with NumPy,W3035965352; W3099878876,2020,35
code completion with statistical language models,2,Code completion with statistical language models,W2143861926; W3005855585,2014,35
ivy safety verification by interactive generalization,2,Ivy: safety verification by interactive generalization,W2410019603; W4241197535,2016,35
understanding power multiprocessors,2,Understanding POWER multiprocessors,W2111858071; W4240322740,2011,35
a practical automatic polyhedral parallelizer and locality optimizer,2,A practical automatic polyhedral parallelizer and locality optimizer,W2034761517; W3151489216,2008,34
formalizing the llvm intermediate representation for verified program transformations,2,Formalizing the LLVM intermediate representation for verified program transformations,W2167029843; W4298447450,2012,34
higher order abstract syntax,2,Higher-order abstract syntax,W2009464583; W4237428230,1988,34
introspective analysis,2,Introspective analysis,W1971859150; W4237737995,2014,34
optimal dynamic partial order reduction,2,Optimal dynamic partial order reduction,W2008078972; W3009455989,2014,34
purely functional data structures,2,Purely functional data structures,W1580184003; W2105045857,"1998, 1999",34
region based memory management in cyclone,2,Region-based memory management in cyclone,W1981962444; W3033992392,2002,34
towards automatic resource bound analysis for ocaml,2,Towards automatic resource bound analysis for OCaml,W2547267640; W2950483238,"2016, 2017",34
why3 where programs meet provers,2,Why3 — Where Programs Meet Provers,W1820726602; W4290457287,2013,34
linear haskell practical linearity in a higher order polymorphic language,2,Linear Haskell: practical linearity in a higher-order polymorphic language,W2766220735; W2898640692,2017,33
ownership types for flexible alias protection,2,Ownership types for flexible alias protection,W2073407646; W4247699568,1998,33
qwire a core language for quantum circuits,2,QWIRE: a core language for quantum circuits,W2563269605; W4233847666,"2016, 2017",33
static prediction of heap space usage for first order functional programs,2,Static prediction of heap space usage for first-order functional programs,W2068055184; W2997024788,2003,33
