title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
foundations of databases,2,Foundations of databases,W1558832481; W2502658919,"1988, 1994",10
from polyvariant flow information to intersection and union types,2,From polyvariant flow information to intersection and union types,W2053118768; W2136290535,"1998, 2001",10
fully automated shape analysis based on forest automata,2,Fully Automated Shape Analysis Based on Forest Automata,W1560366856; W2952803676,2013,10
fundamental approaches to software engineering,2,Fundamental Approaches to Software Engineering,W2592303583; W4365413535,"1999, 2016",10
game themed programming assignments,2,Game-themed programming assignments,W1978429093; W2999207321,2008,10
gnnexplainer generating explanations for graph neural networks,2,GNNExplainer: Generating Explanations for Graph Neural Networks.,W2970119293; W2972317931,2019,10
graph logics with rational relations,2,Graph Logics with Rational Relations,W2169092431; W2613188923,"2013, 2017",10
graphical models exponential families and variational inference,2,"Graphical Models, Exponential Families, and Variational Inference",W2120340025; W4293052541,"2007, 2008",10
hamiltonian simulation by qubitization,2,Hamiltonian Simulation by Qubitization,W2535738892; W3101824094,2019,10
hoare style reasoning with algebraic continuations,2,Hoare-style reasoning with (algebraic) continuations,W1970338420; W4247598266,2013,10
how to integrate a polynomial over a simplex,2,How to integrate a polynomial over a simplex,W2039934364; W3104134886,"2008, 2010",10
hydra,2,HYDRA,W2140508184; W2604623598,"1974, 2017",10
implan scalable incremental motion planning for multi robot systems,2,Implan: scalable incremental motion planning for multi-robot systems,W2408209020; W4246623799,2016,10
improved type specialization for dynamic scripting languages,2,Improved type specialization for dynamic scripting languages,W2168176277; W4250256259,2013,10
improving the performance of trace based systems by false loop filtering,2,Improving the performance of trace-based systems by false loop filtering,W2133240977; W4253537088,2011,10
inductive synthesis of functional programs an explanation based generalization approach,2,Inductive Synthesis of Functional Programs: An Explanation Based Generalization Approach,W2144936864; W3006444925,2006,10
interprocedural analysis of asynchronous programs,2,Interprocedural analysis of asynchronous programs,W2119006541; W2184209356,2007,10
kitsune,2,Kitsune,W2027296616; W2049659774,"2012, 2014",10
learning to represent edits,2,Learning to Represent Edits,W2898951026; W2963965612,2018,10
less training more repairing please revisiting automated program repair via zero shot learning,2,"Less Training, More Repairing Please: Revisiting Automated Program Repair via Zero-shot Learning",W4286233445; W4308643319,2022,10
lightweight fusion by fixed point promotion,2,Lightweight fusion by fixed point promotion,W2105931791; W4234009710,2007,10
lightweight recoverable virtual memory,2,Lightweight recoverable virtual memory,W2155323584; W4231885549,"1993, 1994",10
linear dependent types in a call by value scenario,2,Linear dependent types in a call-by-value scenario,W1993439083; W2077613266,"2012, 2013",10
linear types and non size increasing polynomial time computation,2,Linear types and non-size-increasing polynomial time computation,W2010059824; W2170698790,2003,10
lms verify abstraction without regret for verified systems programming,2,LMS-Verify: abstraction without regret for verified systems programming,W2562397426; W4229964639,"2016, 2017",10
making a fast curry,2,Making a fast curry,W2123307082; W4248456324,2004,10
measuring catastrophic forgetting in neural networks,2,Measuring Catastrophic Forgetting in Neural Networks,W2743151379; W2963560049,"2017, 2018",10
memory management with explicit regions,2,Memory management with explicit regions,W2163365446; W3033281991,1998,10
milp modeling for large s boxes to optimize probability of differential characteristics,2,MILP Modeling for (Large) S-boxes to Optimize Probability of Differential Characteristics,W2782859210; W4242766192,2017,10
modular and verified automatic program repair,2,Modular and verified automatic program repair,W2104220745; W3023843306,2012,10
monitoring networks through multiparty session types,2,Monitoring Networks through Multiparty Session Types,W2995356440; W59370666,"2013, 2017",10
mop,2,Mop,W2150593762; W4230726766,2007,10
mpi runtime error detection with must advances in deadlock detection,2,MPI Runtime Error Detection with MUST: Advances in Deadlock Detection,W1990128020; W4253460352,2012,10
natural adversarial examples,2,Natural Adversarial Examples,W2961301154; W3177096435,"2019, 2021",10
object oriented software construction,2,Object-Oriented Software Construction,W2161825580; W221670187,"1988, 1989",10
on series parallel pomset languages rationality context freeness and automata,2,"On series-parallel pomset languages: Rationality, context-freeness and automata",W2903712233; W3098007364,"2018, 2019",10
operating system concepts,2,Operating System Concepts,W2751601659; W3152703111,"1983, 1991",10
operational semantics using the partiality monad,2,Operational semantics using the partiality monad,W2086201554; W4244496441,2012,10
optimizing direct threaded code by selective inlining,2,Optimizing direct threaded code by selective inlining,W2002325351; W3003972248,1998,10
orthogonally persistent object systems,2,Orthogonally persistent object systems,W2033904757; W3005941131,1995,10
policy mechanism separation in hydra,2,Policy/mechanism separation in Hydra,W2036790532; W4242574860,1975,10
pr miner,2,PR-Miner,W2054520963; W4239312229,2005,10
practical memory checking with dr memory,2,Practical Memory Checking with Dr. Memory,W2170922286; W4210676563,"2011, 2012",10
precise and efficient static array bound checking for large embedded c programs,2,Precise and efficient static array bound checking for large embedded C programs,W2009288822; W3048901311,2004,10
probabilistic call by push value,2,Probabilistic call by push value,W2512575065; W2963128769,"2016, 2019",10
procedural modeling of buildings,2,Procedural modeling of buildings,W2117088012; W4230564045,2006,10
program extrapolation with jennisys,2,Program extrapolation with jennisys,W2128953477; W4255158238,2012,10
promises linguistic support for efficient asynchronous procedure calls in distributed systems,2,Promises: linguistic support for efficient asynchronous procedure calls in distributed systems,W2021838450; W4251292774,1988,10
protection in programming language translations,2,Protection in Programming-Language Translations,W2127625071; W3022452059,"1998, 1999",10
pushdown flow analysis of first class control,2,Pushdown flow analysis of first-class control,W2133263836; W4243661015,2011,10
quantifying the performance of garbage collection vs explicit memory management,2,Quantifying the performance of garbage collection vs. explicit memory management,W2104098106; W4235452221,2005,10
randomized search trees,2,Randomized search trees,W1989218322; W2099844038,"1989, 1996",10
reasoning about nondeterminism in programs,2,Reasoning about nondeterminism in programs,W1964528821; W4234667719,2013,10
regular property guided dynamic symbolic execution,2,Regular property guided dynamic symbolic execution,W2071589768; W4246117430,2015,10
reinforcement learning an introduction,2,Reinforcement Learning: An Introduction,W2121863487; W4214717370,"1998, 2005",10
relaxed linear references for lock free data structures,2,Relaxed Linear References for Lock-free Data Structures,W2733903953; W6966998667,2017,10
safe couplings coupled refinement types,2,Safe Couplings: Coupled Refinement Types,W4283457769; W4293812913,2022,10
scalable linear algebra on a relational database system,2,Scalable Linear Algebra on a Relational Database System,W2614179415; W2889897289,"2017, 2018",10
shader algebra,2,Shader algebra,W2296015560; W4241441081,2004,10
simplifying reductions,2,Simplifying reductions,W2296463846; W4238463124,2006,10
simulation and the monte carlo method,2,Simulation and the Monte Carlo Method,W2147632348; W2797175432,"1983, 2016",10
software change impact analysis,2,Software Change Impact Analysis,W1548254758; W216692372,"1996, 2015",10
software model checking as cyclic proof search,2,Software Model-Checking as Cyclic-Proof Search,W3212954055; W4206247075,"2021, 2022",10
sparse tensor transpositions,2,Sparse Tensor Transpositions,W3028129830; W3098408187,2020,10
specgen automated generation of formal program specifications via large language models,2,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,W4391012954; W4411552046,"2024, 2025",10
specification guided component based synthesis from effectful libraries,2,Specification-Guided Component-Based Synthesis from Effectful Libraries,W4297675700; W4307884541,2022,10
stateful manifest contracts,2,Stateful manifest contracts,W2567080712; W3041252015,"2016, 2017",10
static conflict analysis for multi threaded object oriented programs,2,Static conflict analysis for multi-threaded object-oriented programs,W2102731275; W4247660350,2003,10
static determination of dynamic properties of generalized type unions,2,Static determination of dynamic properties of generalized type unions,W3004657049; W4251718220,1977,10
